generation_date,generation_hour,forecast_date,forecast_hour,tide_height,surf_min,surf_max,surf_optimal_score,wind_direction,wind_speed,wind_gust,temperature,swell_1_height,swell_1_direction,swell_1_swell_min_direction,swell_1_period,swell_1_optimal_score,swell_2_height,swell_2_direction,swell_2_swell_min_direction,swell_2_period,swell_2_optimal_score,swell_3_height,swell_3_direction,swell_3_swell_min_direction,swell_3_period,swell_3_optimal_score,swell_4_height,swell_4_direction,swell_4_swell_min_direction,swell_4_period,swell_4_optimal_score,swell_5_height,swell_5_direction,swell_5_swell_min_direction,swell_5_period,swell_5_optimal_score,swell_6_height,swell_6_direction,swell_6_swell_min_direction,swell_6_period,swell_6_optimal_score
02-17-2022,23,02-18-2022,0,8.6,2.115485,3.124015,2,200,29.632,44.448,11.11111111111111,9.11814,173.07886,158.47521,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-17-2022,23,02-18-2022,3,4.14,3.05479125,4.06545375,2,190,33.336,51.856,11.11111111111111,12.98324,176.66791,161.33349,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-17-2022,23,02-18-2022,6,0.25,3.2723075,4.252292499999999,2,200,44.448,68.524,11.666666666666666,14.51837,178.47998,162.86909,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-17-2022,23,02-18-2022,9,5.04,4.01476375,4.9968812499999995,2,210,48.152,79.636,11.666666666666666,13.42887,173.84473,156.689425,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-17-2022,23,02-18-2022,12,9.45,2.39501,3.41207,2,210,40.744,64.82,11.666666666666666,9.53514,162.3714,150.610255,10,0,0,0,0,0,0,0,0,0,0,0,5.31923,276.159,261.90052,5,0,0,0,0,0,0,0,0,0,0,0
02-17-2022,23,02-18-2022,15,5.01,1.24672,2.23097,2,290,37.04,53.708,6.111111111111111,6.72218,156.23932,147.780375,11,0,0,0,0,0,0,0,0,0,0,0,5.55784,282.97015,267.193475,5,0,0,0,0,0,0,0,0,0,0,0
02-17-2022,23,02-18-2022,18,-0.32,0.75459,1.77165,0,300,35.188,53.708,2.7777777777777777,4.63501,152.44556,144.306275,11,0,0,0,0,0,0,0,0,0,0,0,5.10367,288.94189,273.31593,5,0,0.81234,21.33539,14.975999999999999,5,0,0,0,0,0,0
02-17-2022,23,02-18-2022,21,3.48,0.75459,1.77165,0,310,33.336,44.448,0.5555555555555556,3.80689,151.05713,143.170505,11,0,0.91759,119.4704,115.09591999999999,13,0,0,0,0,0,0,4.15604,290.45184,276.06838,5,0,1.64836,18.64755,11.916049999999998,6,0,0,0,0,0,0
02-17-2022,23,02-19-2022,0,8.77,0.85302,1.83727,0,310,25.928,38.892,-2.2222222222222223,3.59718,148.69769,140.439305,11,0,0.87602,116.19427,112.292745,13,0,0,0,0,0,0,2.7648,289.45764,275.40697,4,0,1.57999,19.67657,12.598390000000002,5,0,0,0,0,0,0
02-17-2022,23,02-19-2022,3,5.65,0.91864,1.90289,0,320,18.52,29.632,-4.444444444444445,3.5375,147.08392,138.685045,11,0,0.86086,117.75983,113.369075,12,0,0,0,0,0,0,1.70594,286.45154,272.38764000000003,4,0,1.11063,21.47168,12.71722,5,0,0.42861,29.90622,24.989175000000003,6,0
