generation_date,generation_hour,forecast_date,forecast_hour,tide_height,surf_min,surf_max,surf_optimal_score,wind_direction,wind_speed,wind_gust,temperature,swell_1_height,swell_1_direction,swell_1_swell_min_direction,swell_1_period,swell_1_optimal_score,swell_2_height,swell_2_direction,swell_2_swell_min_direction,swell_2_period,swell_2_optimal_score,swell_3_height,swell_3_direction,swell_3_swell_min_direction,swell_3_period,swell_3_optimal_score,swell_4_height,swell_4_direction,swell_4_swell_min_direction,swell_4_period,swell_4_optimal_score,swell_5_height,swell_5_direction,swell_5_swell_min_direction,swell_5_period,swell_5_optimal_score,swell_6_height,swell_6_direction,swell_6_swell_min_direction,swell_6_period,swell_6_optimal_score
12-01-2021,0,12-01-2021,3,1.45,0.7903575,1.58071,0,240,12.964,22.224,1.6666666666666667,2.15755,230.70526,213.94206,4,0,1.60699,96.69196,92.02556,10,0,1.68173,131.85504,125.767525,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-01-2021,0,12-01-2021,6,7.99,0.7893750000000002,1.67717,0,240,11.112,20.372,1.1111111111111112,2.28491,239.3739,223.219265,4,0,1.45551,95.71786,91.448115,10,0,1.60312,130.81476,124.39558000000001,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-01-2021,0,12-01-2021,9,8.81,0.8540025000000002,1.77362,0,240,14.816,24.076,0,3.14498,244.60028,228.11836,4,0,1.69721,101.89532,95.84291999999999,10,0,1.09065,138.75226,134.290235,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-01-2021,0,12-01-2021,12,2.1,0.91864,1.9357,0,240,16.668,27.78,-1.1111111111111112,3.56053,259.68109,243.1078,4,0,1.90774,110.64386,100.95191,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-01-2021,0,12-01-2021,15,0.2,0.82021,1.83727,0,260,20.372,33.336,3.3333333333333335,3.20233,260.1358,243.71887,4,0,1.79127,109.85931,100.54474499999999,10,0,0,0,0,0,0,0,0,0,0,0,0.28127,169.70184,166.261005,9,0,0,0,0,0,0
12-01-2021,0,12-01-2021,18,6.4,0.72178,1.70604,0,270,22.224,37.04,6.111111111111111,2.8668,252.78778,237.535055,4,0,1.66654,109.42065,100.45766499999999,10,0,0,0,0,0,0,0,0,0,0,0,0.3122,170.40289,167.091135,9,0,0,0,0,0,0
12-01-2021,0,12-01-2021,21,8.79,0.62336,1.64042,0,260,16.668,27.78,5.555555555555555,2.19636,249.8526,234.484575,4,0,1.56611,108.36505,99.835385,10,0,0,0,0,0,0,0,0,0,0,0,0.27182,170.17261,166.71707999999998,9,0,0,0,0,0,0
12-01-2021,0,12-02-2021,0,2.86,0.59055,1.60761,0,250,9.26,16.668,3.3333333333333335,1.99505,241.57275,227.26083,4,0,1.51841,107.35492,99.072765,10,0,0,0,0,0,0,0,0,0,0,0,0.22516,169.49615,165.958955,9,0,0,0,0,0,0
12-01-2021,0,12-02-2021,3,0.14,0.59055,1.5748,0,240,9.26,16.668,2.2222222222222223,2.47031,220.79559,206.93335000000002,4,0,1.5106,107.39886,98.563465,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12-01-2021,0,12-02-2021,6,6.5,0.59055,1.5748,0,220,9.26,16.668,1.6666666666666667,1.95587,212.80389,197.3782,4,0,1.49449,106.89899,98.471755,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
